N_simulacion,tipo,id_vuelo,origen,destino,minuto,retraso
4,salida,EB027,E,B,824,
4,cola_espera,GA040,,A,824,
4,salida,FD028,F,D,831,
4,llegada,DF046,D,F,835,0.0
4,llegada,EB027,E,B,847,0.0
4,llegada,FD009,F,D,848,0.0
4,llegada,EF019,E,F,856,0.0
4,salida,GI031,G,I,859,
4,llegada,EF014,E,F,862,0.0
4,llegada,FD028,F,D,901,0.0
4,llegada,GI031,G,I,931,0.0
4,salida,JD048,J,D,955,
4,salida,GE007,G,E,977,
4,salida,EB033,E,B,977,
4,llegada,EB033,E,B,1000,0.0
4,salida,AF043,A,F,1005,
4,llegada,GA040,G,A,1005,181.0
4,llegada,GE007,G,E,1011,0.0
4,cola_espera,JD048,,D,1029,
4,salida,IF012,I,F,1042,
4,salida,IH021,I,H,1046,
4,llegada,AF043,A,F,1054,0.0
4,salida,HE055,H,E,1063,
4,llegada,IF012,I,F,1083,0.0
4,llegada,IH021,I,H,1089,0.0
4,llegada,HE055,H,E,1097,0.0
4,salida,DA037,D,A,1100,
4,llegada,JD048,J,D,1100,71.0
4,salida,CJ039,C,J,1110,
4,salida,CD029,C,D,1113,
4,llegada,CJ039,C,J,1125,0.0
4,salida,BA058,B,A,1147,
4,salida,DE050,D,E,1148,
4,cola_espera,DA037,,A,1150,
4,salida,DJ018,D,J,1161,
4,cola_espera,BA058,,A,1167,
4,salida,EB013,E,B,1174,
4,llegada,DE050,D,E,1180,0.0
4,llegada,CD029,C,D,1183,0.0
4,llegada,EB013,E,B,1197,0.0
4,llegada,DJ018,D,J,1235,0.0
4,salida,HG006,H,G,1238,
4,salida,DE025,D,E,1265,
4,salida,CE045,C,E,1277,
4,llegada,DE025,D,E,1297,0.0
4,llegada,HG006,H,G,1298,0.0
4,salida,EF017,E,F,1302,
4,llegada,CE045,C,E,1320,0.0
4,salida,JG042,J,G,1329,
4,cola_espera,EF017,,F,1342,
4,llegada,JG042,J,G,1392,0.0
4,salida,CB023,C,B,1401,
4,cola_espera,CB023,,B,1435,
5,salida,EF005,E,F,30,
5,salida,JB021,J,B,32,
5,llegada,JB021,J,B,68,0.0
5,llegada,EF005,E,F,70,0.0
5,salida,FC026,F,C,79,
5,salida,HI027,H,I,79,
5,llegada,FC026,F,C,93,0.0
5,salida,BD058,B,D,97,
5,salida,FJ038,F,J,116,
5,llegada,HI027,H,I,122,0.0
5,salida,DF004,D,F,131,
5,llegada,BD058,B,D,136,0.0
5,llegada,FJ038,F,J,143,0.0
5,salida,BF020,B,F,159,
5,llegada,BF020,B,F,197,0.0
5,llegada,DF004,D,F,201,0.0
5,salida,AJ001,A,J,209,
5,salida,IE007,I,E,224,
5,llegada,AJ001,A,J,244,0.0
5,salida,HA051,H,A,261,
5,salida,CA030,C,A,279,
5,llegada,IE007,I,E,288,0.0
5,llegada,HA051,H,A,307,0.0
5,llegada,CA030,C,A,319,0.0
5,salida,CG029,C,G,343,
5,salida,DI033,D,I,345,
5,salida,HF050,H,F,350,
5,llegada,HF050,H,F,358,0.0
5,salida,GC049,G,C,370,
5,salida,JI047,J,I,405,
5,llegada,CG029,C,G,405,0.0
5,llegada,JI047,J,I,420,0.0
5,llegada,DI033,D,I,430,0.0
5,llegada,GC049,G,C,432,0.0
5,salida,CD040,C,D,458,
5,salida,GJ019,G,J,465,
5,salida,GF042,G,F,465,
5,salida,AC052,A,C,469,
5,salida,HG022,H,G,481,
5,llegada,AC052,A,C,509,0.0
5,llegada,GJ019,G,J,528,0.0
5,llegada,CD040,C,D,528,0.0
5,llegada,GF042,G,F,531,0.0
5,llegada,HG022,H,G,541,0.0
5,salida,CF003,C,F,563,
5,salida,FH036,F,H,567,
5,llegada,FH036,F,H,575,0.0
5,llegada,CF003,C,F,577,0.0
5,salida,DC010,D,C,646,
5,salida,IB031,I,B,647,
5,llegada,IB031,I,B,694,0.0
5,salida,BG037,B,G,698,
5,salida,JI046,J,I,701,
5,llegada,JI046,J,I,716,0.0
5,llegada,DC010,D,C,716,0.0
5,llegada,BG037,B,G,727,0.0
5,salida,FH032,F,H,760,
5,llegada,FH032,F,H,768,0.0
5,salida,IF055,I,F,795,
5,salida,BA054,B,A,805,
5,llegada,BA054,B,A,825,0.0
5,llegada,IF055,I,F,836,0.0
5,salida,JD009,J,D,838,
5,salida,AI053,A,I,898,
5,llegada,JD009,J,D,912,0.0
5,salida,FE059,F,E,914,
5,salida,JF023,J,F,929,
5,salida,BE000,B,E,933,
5,salida,IB016,I,B,936,
5,llegada,AI053,A,I,938,0.0
5,salida,GD043,G,D,940,
5,llegada,FE059,F,E,954,0.0
5,llegada,BE000,B,E,956,0.0
5,llegada,JF023,J,F,956,0.0
5,llegada,GD043,G,D,960,0.0
5,llegada,IB016,I,B,983,0.0
5,salida,CD008,C,D,985,
5,salida,AG006,A,G,1014,
5,salida,HB045,H,B,1019,
5,salida,AI057,A,I,1027,
5,llegada,AG006,A,G,1048,0.0
5,llegada,HB045,H,B,1052,0.0
5,salida,CG056,C,G,1054,
5,cola_espera,CD008,,D,1055,
5,llegada,AI057,A,I,1067,0.0
5,llegada,CG056,C,G,1116,0.0
5,salida,EC044,E,C,1132,
5,salida,BA012,B,A,1146,
5,salida,HJ034,H,J,1155,
5,llegada,BA012,B,A,1166,0.0
5,llegada,EC044,E,C,1175,0.0
5,salida,EI015,E,I,1179,
5,llegada,HJ034,H,J,1184,0.0
5,salida,GA025,G,A,1215,
5,salida,HA011,H,A,1224,
5,salida,FC041,F,C,1233,
5,llegada,EI015,E,I,1243,0.0
5,llegada,FC041,F,C,1247,0.0
5,llegada,GA025,G,A,1249,0.0
5,llegada,HA011,H,A,1270,0.0
5,salida,GA013,G,A,1290,
5,salida,EH028,E,H,1290,
5,salida,JH017,J,H,1309,
5,salida,AI039,A,I,1311,
5,salida,CB014,C,B,1323,
5,llegada,GA013,G,A,1324,0.0
5,llegada,EH028,E,H,1324,0.0
5,llegada,JH017,J,H,1338,0.0
5,llegada,AI039,A,I,1351,0.0
5,salida,FC048,F,C,1356,
5,llegada,CB014,C,B,1357,0.0
5,salida,GI024,G,I,1362,
5,salida,CG035,C,G,1367,
5,llegada,FC048,F,C,1370,0.0
5,salida,HI018,H,I,1394,
5,salida,HJ002,H,J,1406,
5,llegada,CG035,C,G,1429,0.0
5,cola_espera,GI024,,I,1434,
5,llegada,HJ002,H,J,1435,0.0
5,cola_espera,HI018,,I,1437,
6,salida,JF040,J,F,5,
6,salida,CF017,C,F,32,
6,llegada,JF040,J,F,32,0.0
6,llegada,CF017,C,F,46,0.0
6,salida,IJ001,I,J,92,
6,llegada,IJ001,I,J,107,0.0
6,salida,DI054,D,I,117,
6,salida,JD009,J,D,125,
6,salida,CF050,C,F,156,
6,salida,IG033,I,G,160,
6,salida,JI035,J,I,160,
6,salida,DF038,D,F,166,
6,llegada,CF050,C,F,170,0.0
6,llegada,JI035,J,I,175,0.0
6,salida,AH020,A,H,197,
