year,Aeropuerto_Origen,Aeropuerto_Destino,Pasajeros,Pasajeros_Km,Pasajeros2,Pasajeros_Km2,Textbox108,Textbox109,Textbox110,Textbox111
2024,ACE : Lanzarote,PNA : Pamplona,,,1.422.859,"1.506.179.236,52",106.688,"74.363.578,32",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,QSA : Sabadell,,,1.422.859,"1.506.179.236,52",33,"20.361,66",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,REU : Reus,1,"1.995,11",1.422.859,"1.506.179.236,52",1.114,"370.946,27",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,RGS : Burgos,,,1.422.859,"1.506.179.236,52",407,"264.585,88",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,RJL : Logroño,,,1.422.859,"1.506.179.236,52",7.525,"2.574.688,38",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,RMU : Región de Murcia,,,1.422.859,"1.506.179.236,52",57.873,"58.654.257,51",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,SBO : Son Bonet,,,1.422.859,"1.506.179.236,52",13,"4.932,84",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,SCQ : Santiago,53.926,"91.809.923,81",1.422.859,"1.506.179.236,52",1.408.668,"1.508.335.028,59",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,SDR : Santander,,,1.422.859,"1.506.179.236,52",277.487,"202.001.963,64",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,SLM : Salamanca,167,"270.102,44",1.422.859,"1.506.179.236,52",7.305,"6.238.693,62",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,SPC : Palma (La),8.504,"4.350.563,67",1.422.859,"1.506.179.236,52",631.188,"360.394.499,76",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,SVQ : Sevilla,63.999,"81.777.504,97",1.422.859,"1.506.179.236,52",2.236.848,"2.033.527.720,98",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,TFN : Tenerife-Norte,213.381,"78.106.482,35",1.422.859,"1.506.179.236,52",3.369.608,"4.129.033.815,56",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,TFS : Tenerife-Sur,29.190,"11.720.245,58",1.422.859,"1.506.179.236,52",592.012,"872.619.324,03",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,TOJ : Madrid-Torrejón,,,1.422.859,"1.506.179.236,52",0,"0,00",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,VDE : Hierro (El),,,1.422.859,"1.506.179.236,52",159.509,"44.923.018,31",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,VGO : Vigo,1.084,"1.773.186,50",1.422.859,"1.506.179.236,52",504.867,"388.028.582,27",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,VIT : Vitoria,,,1.422.859,"1.506.179.236,52",86.403,"62.189.933,34",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,VLC : Valencia,22.092,"39.155.590,36",1.422.859,"1.506.179.236,52",1.475.979,"979.622.964,43",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,VLL : Valladolid,1.099,"1.887.925,32",1.422.859,"1.506.179.236,52",82.771,"76.097.042,26",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,XRY : Jerez de la Frontera,0,"0,00",1.422.859,"1.506.179.236,52",285.115,"239.080.105,95",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ZAZ : Zaragoza,260,"495.833,32",1.422.859,"1.506.179.236,52",129.948,"115.898.364,14",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,ABC : Albacete,,,17.081,"493.174,25",48,"23.456,30",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,ACE : Lanzarote,,,17.081,"493.174,25",1.413.941,"1.494.048.627,62",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,AEI : Algeciras,,,17.081,"493.174,25",16.654,"480.845,61",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,AGP : Málaga,,,17.081,"493.174,25",2.098.974,"1.754.561.223,82",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,ALC : Alicante,,,17.081,"493.174,25",1.291.972,"848.442.720,66",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,BCN : Barcelona-El Prat,,,17.081,"493.174,25",7.142.092,"5.569.423.643,22",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,BIO : Bilbao,,,17.081,"493.174,25",1.954.995,"1.669.502.181,28",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,BJZ : Badajoz,,,17.081,"493.174,25",43.076,"29.414.941,92",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,EAS : San Sebastián,,,17.081,"493.174,25",238.891,"142.487.823,81",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,FUE : Fuerteventura,,,17.081,"493.174,25",932.093,"885.942.917,86",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,GMZ : Gomera (La),,,17.081,"493.174,25",60.095,"14.115.551,63",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,GRO : Girona,,,17.081,"493.174,25",2.270,"1.712.199,21",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,GRX : Granada,,,17.081,"493.174,25",537.169,"420.025.112,26",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,HSK : Huesca,,,17.081,"493.174,25",118,"70.367,01",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,IBZ : Ibiza,,,17.081,"493.174,25",1.903.001,"807.181.009,90",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,JCU : Ceuta,17.081,"493.174,25",17.081,"493.174,25",39.118,"2.985.610,92",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,LCG : Coruña (A),,,17.081,"493.174,25",556.216,"410.174.935,53",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,LEI : Almería,,,17.081,"493.174,25",221.418,"123.066.504,15",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,LEN : León,,,17.081,"493.174,25",28.447,"26.092.762,94",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,LPA : Gran Canaria,,,17.081,"493.174,25",3.593.494,"4.263.271.504,96",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,MAD : Madrid-Barajas,,,17.081,"493.174,25",8.752.037,"8.386.923.719,85",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,MAH : Menorca,,,17.081,"493.174,25",1.064.255,"513.159.808,34",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,MCV : Madrid-Cuatro Vientos,,,17.081,"493.174,25",299,"159.606,92",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,MJV : Murcia,,,17.081,"493.174,25",4,"1.769,41",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,MLN : Melilla,,,17.081,"493.174,25",251.013,"108.059.236,43",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,ODB : Córdoba,,,17.081,"493.174,25",1.530,"1.336.851,23",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,OVD : Asturias,,,17.081,"493.174,25",771.801,"723.097.051,36",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,PMI : Palma de Mallorca,,,17.081,"493.174,25",4.501.747,"2.407.324.685,98",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,PNA : Pamplona,,,17.081,"493.174,25",106.688,"74.363.578,32",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,QSA : Sabadell,,,17.081,"493.174,25",33,"20.361,66",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,REU : Reus,,,17.081,"493.174,25",1.114,"370.946,27",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,RGS : Burgos,,,17.081,"493.174,25",407,"264.585,88",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,RJL : Logroño,,,17.081,"493.174,25",7.525,"2.574.688,38",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,RMU : Región de Murcia,,,17.081,"493.174,25",57.873,"58.654.257,51",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,SBO : Son Bonet,,,17.081,"493.174,25",13,"4.932,84",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,SCQ : Santiago,,,17.081,"493.174,25",1.408.668,"1.508.335.028,59",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,SDR : Santander,,,17.081,"493.174,25",277.487,"202.001.963,64",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,SLM : Salamanca,,,17.081,"493.174,25",7.305,"6.238.693,62",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,SPC : Palma (La),,,17.081,"493.174,25",631.188,"360.394.499,76",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,SVQ : Sevilla,,,17.081,"493.174,25",2.236.848,"2.033.527.720,98",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,TFN : Tenerife-Norte,,,17.081,"493.174,25",3.369.608,"4.129.033.815,56",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,TFS : Tenerife-Sur,,,17.081,"493.174,25",592.012,"872.619.324,03",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,TOJ : Madrid-Torrejón,,,17.081,"493.174,25",0,"0,00",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,VDE : Hierro (El),,,17.081,"493.174,25",159.509,"44.923.018,31",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,VGO : Vigo,,,17.081,"493.174,25",504.867,"388.028.582,27",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,VIT : Vitoria,,,17.081,"493.174,25",86.403,"62.189.933,34",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,VLC : Valencia,,,17.081,"493.174,25",1.475.979,"979.622.964,43",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,VLL : Valladolid,,,17.081,"493.174,25",82.771,"76.097.042,26",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,XRY : Jerez de la Frontera,,,17.081,"493.174,25",285.115,"239.080.105,95",48.838.129,"41.757.331.077,90"
2024,AEI : Algeciras,ZAZ : Zaragoza,,,17.081,"493.174,25",129.948,"115.898.364,14",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,ABC : Albacete,16,"7.012,54",2.129.806,"1.776.159.612,33",48,"23.456,30",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,ACE : Lanzarote,43.224,"56.242.335,31",2.129.806,"1.776.159.612,33",1.413.941,"1.494.048.627,62",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,AEI : Algeciras,,,2.129.806,"1.776.159.612,33",16.654,"480.845,61",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,AGP : Málaga,,,2.129.806,"1.776.159.612,33",2.098.974,"1.754.561.223,82",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,ALC : Alicante,101,"58.081,11",2.129.806,"1.776.159.612,33",1.291.972,"848.442.720,66",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,BCN : Barcelona-El Prat,508.824,"438.429.006,22",2.129.806,"1.776.159.612,33",7.142.092,"5.569.423.643,22",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,BIO : Bilbao,175.327,"148.023.866,61",2.129.806,"1.776.159.612,33",1.954.995,"1.669.502.181,28",48.838.129,"41.757.331.077,90"
2024,AGP : Málaga,BJZ : Badajoz,,,2.129.806,"1.776.159.612,33",43.076,"29.414.941,92",48.838.129,"41.757.331.077,90"
