dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave
1,A24A700160,A24,A7,A7,False,False,1026.0,1091.9686462741445,14.968646274144476,0.0,2723.7992116305327,corto_radio
1,A34A2400455,A34,A24,A24,False,False,1042.0,1092.8169865532552,13.81698655325522,0.0,1942.2263214705395,corto_radio
1,A15A1800313,A15,A18,A18,False,False,1050.0,1093.7159452425026,17.715945242502585,0.0,1637.4585335699044,corto_radio
1,A46A3700565,A46,A37,A37,False,False,1048.0,1095.3586382314697,16.35863823146974,0.0,1900.6056778910033,corto_radio
1,A14A800175,A14,A8,A8,False,False,1047.0,1096.0,16.0,0.0,1942.9972750010238,corto_radio
1,A30A3500511,A30,A35,A35,False,False,1023.0,1098.1544518892608,11.154451889260827,0.0,3495.3882192102787,medio_radio
1,A18A700155,A18,A7,A7,False,False,1036.0,1098.2960806463022,19.296080646302244,0.0,2731.51273810941,corto_radio
1,A44A2800501,A44,A28,A28,False,False,1071.0,1098.4366544235902,13.436654423590198,0.0,800.1969733433538,corto_radio
1,A37A3600555,A37,A36,A36,False,False,1026.0,1100.4536976695574,13.453697669557414,0.0,3447.415231169267,medio_radio
1,A21A4700419,A21,A47,A47,False,False,1050.0,1100.6711629280503,15.671162928050308,0.0,2000.1611373719782,corto_radio
1,A42A2300442,A42,A23,A23,False,False,1055.0,1101.6324674780265,12.632467478026456,0.0,1743.1111055542294,corto_radio
1,A25A300059,A25,A3,A3,False,False,1044.0,1104.9113256543183,18.91132565431826,0.0,2659.1846429057355,corto_radio
1,A27A1700349,A27,A17,A17,False,False,1082.0,1105.418169365346,13.418169365346102,0.0,601.0129430400517,corto_radio
1,A3A1600054,A3,A16,A16,False,False,1067.0,1106.871450255135,12.87145025513496,0.0,1399.0518219558764,corto_radio
1,A36A4200559,A36,A42,A42,False,False,1026.0,1108.709701963762,20.709701963761972,0.0,4297.068760531436,medio_radio
1,A8A4300193,A8,A43,A43,False,False,970.0,1109.0,17.0,0.0,6883.8189004192445,medio_radio
1,A16A1900334,A16,A19,A19,False,False,1077.0,1109.3820125811042,14.382012581104163,0.0,1071.7792153540372,corto_radio
1,A25A300060,A25,A3,A3,False,False,1049.0,1109.9113256543183,18.91132565431826,0.0,2659.1846429057355,corto_radio
1,A42A3500553,A42,A35,A35,False,False,1041.0,1110.877836175234,10.877836175234052,0.0,3212.3097822148093,medio_radio
