dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave,capacidad_combustible_l,combustible_restante_est_l,tiempo_total_min,tiempo_rodaje_min,tiempo_despegue_min,tiempo_crucero_min,tiempo_aproximacion_min,tiempo_aterrizaje_min,tiempo_espera_cola_min,dist_rodaje_km,dist_despegue_km,dist_crucero_km,dist_aproximacion_km,dist_aterrizaje_km,velocidad_crucero_kmh,velocidad_despegue_kmh,velocidad_aproximacion_kmh,velocidad_aterrizaje_kmh,viento_despegue,viento_crucero,viento_aproximacion,viento_aterrizaje,distancia_plan_km,distancia_ruta_km
26,SPCTFN00143,SPC,TFN,TFN,False,False,36453.0,36485.930743929726,21.930743929726304,0.0,737.0042784616942,corto_radio,20000.0,19262.995721538307,32.930743929726304,5.65461665617071,2.546587825004087,5.9029736548937555,4.0,2.0,0.0,4.0,11.072811725915786,106.57581286193943,13.841014657394732,6.920507328697366,1083.2758446101277,260.8858398802252,380.0,323.49142606351313,neutro,a_favor,neutro,a_favor,138.41014657394732,138.41014657394732
26,TFNFUE00170,TFN,FUE,FUE,False,False,36451.0,36487.24044467514,17.24044467513886,0.0,1007.9180291174127,corto_radio,20000.0,18992.081970882587,36.24044467513886,5.756249472134616,4.294904211845799,9.935620293953779,4.0,2.2536706972042277,0.0,4.0,19.44344645425839,187.143172122237,24.304308067822987,12.152154033911494,1130.134807402741,271.62579878682243,494.0,323.52962788183953,neutro,a_favor,a_favor,a_favor,243.04308067822987,243.04308067822987
26,MADBIO00367,MAD,BIO,BIO,False,False,36447.0,36488.607626406636,17.607626406635973,0.0,1323.5700791172073,corto_radio,20000.0,18676.429920882794,41.60762640663597,5.51399953998065,5.995670613463087,13.077977602699862,4.0,3.0199786504985133,0.0,4.0,25.363009941539996,244.11897068732245,31.703762426924996,15.851881213462498,1119.9849614527204,253.81324202088254,494.0,314.9402637832383,en_contra,a_favor,a_favor,a_favor,317.03762426924993,317.03762426924993
26,LPATFN00180,LPA,TFN,TFN,False,False,36463.0,36493.17694971302,21.176949713022623,0.0,665.4275432875602,corto_radio,20000.0,19334.57245671244,30.176949713022623,4.861392930265873,2.0,5.0,4.0,2.0,0.0,4.0,9.005246946019318,86.67550185543593,11.256558682524147,5.628279341262074,1070.1676497601288,279.63500751592517,380.0,313.5819934229354,en_contra,a_favor,neutro,a_favor,112.56558682524147,112.56558682524147
26,ALCSVQ00546,ALC,SVQ,SVQ,False,False,36437.0,36496.83660276556,23.836602765557473,0.0,2246.4008742297992,corto_radio,20000.0,17753.5991257702,59.83660276555747,5.451929116162469,8.583841650913051,25.522554188097907,5.820361540427132,4.457916269953004,0.0,4.0,38.336781346280034,368.99152045794534,47.920976682850046,23.960488341425023,867.4481035209701,267.96939812282443,494.0,322.48907638201496,neutro,neutro,a_favor,a_favor,479.20976682850045,479.20976682850045
26,MADPMI00487,MAD,PMI,PMI,False,False,36428.0,36497.10843065636,27.108430656357086,0.0,2469.4748343981532,corto_radio,20000.0,17530.525165601848,69.10843065635709,6.412313722245784,9.392993162480941,23.453941701548317,9.115528888597414,6.944587614223452,0.0,4.0,43.87607905044889,422.3072608605705,54.845098813061114,27.422549406530557,1080.3487095715561,280.26899386474184,361.0,236.92594230101275,en_contra,a_favor,en_contra,en_contra,548.4509881306111,548.4509881306111
26,OVDPMI00321,OVD,PMI,PMI,False,False,36397.0,36497.98554936801,35.98554936800792,0.0,5817.905612332405,medio_radio,32000.0,26182.094387667596,100.98554936800792,5.047144787940624,16.408612078167803,44.29942336887842,14.219947153669906,10.821706325871927,0.0,4.0,68.44534563299781,658.786451717604,85.55668204124727,42.778341020623635,892.2731741656302,250.2783732357227,361.0,237.18075356573803,en_contra,en_contra,en_contra,en_contra,855.5668204124727,855.5668204124727
26,PMIALC00537,PMI,ALC,ALC,False,False,36453.0,36498.85633497142,21.8563349714168,0.0,1655.282868612784,corto_radio,20000.0,18344.717131387217,45.8563349714168,4.574874243632246,5.415159898732157,16.943232082510693,5.026469775122851,3.896598971422163,0.0,4.0,25.467446860622445,245.12417603349104,31.834308575778056,15.917154287889028,868.0427966982126,282.1794444140248,380.0,245.09303222568457,en_contra,neutro,neutro,neutro,318.34308575778056,318.34308575778056
26,ACELPA00102,ACE,LPA,LPA,False,False,36467.0,36501.82850205399,18.828502053991542,0.0,1073.887217957896,corto_radio,20000.0,18926.112782042102,34.82850205399154,4.0683003808418805,2.797040721297807,11.293877508455802,4.0,2.6692834433932617,0.0,4.0,16.637196228879173,160.13301370296205,20.796495286098967,10.398247643049483,850.7247236375782,356.8885379936757,361.0,233.73121356863393,a_favor,neutro,en_contra,en_contra,207.96495286098965,207.96495286098965
26,MADOVD00319,MAD,OVD,OVD,False,False,36452.0,36501.946102007336,19.946102007335867,0.0,1653.2439477196726,corto_radio,20000.0,18346.75605228033,49.94610200733587,4.569033899878659,7.946381991193189,16.862903823354525,4.8221874106486915,3.800629242165576,0.0,4.0,31.76214107813938,305.71060787709155,39.70267634767423,19.851338173837114,1087.7507613618475,239.8234148321138,494.0,313.3902873808223,en_contra,a_favor,a_favor,a_favor,397.02676347674225,397.02676347674225
